x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
10.6,0.0017099999999999522,0.0015975963162795275,0.0002829279771819918,0.00011240368372042475,0.9914104628412213,0.9914104628412213,0.5528943043214992,0.050799556094071836,1246.76754153487,0.0012435889000055537,7.084870836368987e-05,2.3073072829211133e-07
10.65,0.0016983333333332833,0.001596613798722861,0.00028293561334209814,0.00010171953461042224,0.9906637735619286,0.9906637735619286,0.5526619975579237,0.05077929574806259,1246.2702942412554,0.0012424047981703305,7.104218284911834e-05,2.3120436131403013e-07
10.7,0.0017008333333333365,0.0015955916930128803,0.00028294325867495143,0.00010524164032045622,0.9898872233647223,0.9898872233647223,0.552420236295273,0.05075820992121651,1245.752787268371,0.0012411803514909415,7.123640339307938e-05,2.3167945390816215e-07
10.75,0.0017041666666666917,0.001594530247820574,0.0002829509131805518,0.0001096364188461177,0.9890809997760012,0.9890809997760012,0.5521690594684545,0.050736301899607025,1245.215101265931,0.0012399158050680997,7.143137355984597e-05,2.3215601207661624e-07
10.8,0.001719583333333367,0.001593429719095221,0.00028295857685889923,0.00012615361423814597,0.9882452958108291,0.9882452958108291,0.5519085071129494,0.050713575061645366,1244.6573191498856,0.0012386114112615224,7.162709693294691e-05,2.3263404185237945e-07
10.85,0.0017025000000000141,0.0015922903699412644,0.00028296624970999357,0.00011020963005874975,0.9873803098800832,0.9873803098800832,0.5516386203542905,0.050690032877243725,1244.0795260818822,0.0012372674295666984,7.182357711527276e-05,2.3311354929950742e-07
10.9,0.0017304166666666603,0.0015911124704922912,0.000282973931733835,0.0001393041961743691,0.986486245695419,0.986486245695419,0.5513594413972566,0.05066567890695569,1243.48180944817,0.0012358841264887607,7.202081772918216e-05,2.335945405133165e-07
10.95,0.001730833333333311,0.0015898962977822278,0.0002829816229304234,0.00014093703555108318,0.9855633121721387,0.9855633121721387,0.5510710135147865,0.05064051680109396,1242.8642588379448,0.0012344617754135748,7.221882241660887e-05,2.3407702162057777e-07
11.0,0.0017254166666666275,0.0015886421356138668,0.00028298932329975886,0.00013677453105276067,0.9846117233300445,0.9846117233300445,0.5507733810366195,0.050614550298826104,1242.226966021157,0.0012330006564761592,7.24175948391689e-05,2.3456099877971135e-07
11.05,0.0017195833333332928,0.0015873502744248428,0.0002829970328418412,0.00013223305890845,0.9836316981923695,0.9836316981923695,0.5504665893376701,0.05058778322724879,1241.5700249257914,0.001231501056426552,7.261713867826839e-05,2.350464781809833e-07
